Date,Open,High,Low,Close,Adj Close,Volume,Days
2013-09-26,1075.099976,1081.319946,1073.119995,1078.410034,1078.410034,2813930000,0
2013-09-27,1078.369995,1078.369995,1070.849976,1074.189941,1074.189941,2951700000,1
2013-09-30,1065.670044,1075.48999,1061.790039,1073.790039,1073.790039,3308630000,2
2013-10-01,1073.689941,1087.780029,1073.469971,1087.430054,1087.430054,3238690000,3
2013-10-02,1087.390015,1087.390015,1077.900024,1082.550049,1082.550049,3148600000,4
2013-10-03,1081.189941,1081.790039,1064.869995,1070.900024,1070.900024,3279650000,5
2013-10-04,1069.640015,1080.73999,1069.640015,1078.25,1078.25,2880270000,6
2013-10-07,1071.23999,1073.420044,1065.780029,1065.790039,1065.790039,2678490000,7
2013-10-08,1066.160034,1067.209961,1047.26001,1047.26001,1047.26001,3569230000,8
2013-10-09,1050.02002,1050.079956,1037.859985,1043.459961,1043.459961,3577840000,9
2013-10-10,1052.5,1069.77002,1052.5,1069.5,1069.5,3345660000,10
2013-10-11,1066.089966,1084.319946,1065.810059,1084.310059,1084.310059,2944670000,11
2013-10-14,1078.72998,1090.300049,1076.48999,1090.300049,1090.300049,2580580000,12
2013-10-15,1088.050049,1088.530029,1077.689941,1079.619995,1079.619995,3327740000,13
2013-10-16,1085.01001,1092.910034,1085.01001,1092.420044,1092.420044,3483180000,14
2013-10-17,1088.98999,1102.280029,1088.609985,1102.27002,1102.27002,3453590000,15
2013-10-18,1109.300049,1115.040039,1105.910034,1114.77002,1114.77002,3664890000,16
2013-10-21,1115.660034,1117.319946,1110.839966,1112.47998,1112.47998,3052710000,17
2013-10-22,1115.420044,1121.530029,1111.930054,1115.630005,1115.630005,3850840000,18
2013-10-23,1111.48999,1112.089966,1105.349976,1110.930054,1110.930054,3713380000,19
2013-10-24,1112.689941,1120,1111.680054,1118.849976,1118.849976,3671700000,20
2013-10-25,1121.099976,1121.920044,1114.25,1118.339966,1118.339966,3175720000,21
2013-10-28,1118.329956,1119.560059,1113.02002,1117.969971,1117.969971,3282300000,22
2013-10-29,1118.859985,1122.640015,1114.780029,1121.069946,1121.069946,3358460000,23
2013-10-30,1122.810059,1123.26001,1104.150024,1105.5,1105.5,3523040000,24
2013-10-31,1106.089966,1108.599976,1097.839966,1100.150024,1100.150024,3826530000,25
2013-11-01,1099.089966,1101.300049,1087.089966,1095.670044,1095.670044,3686290000,26
2013-11-04,1098.619995,1108.859985,1098.349976,1108.280029,1108.280029,3194870000,27
2013-11-05,1105.22998,1106.089966,1097.439941,1103.589966,1103.589966,3516680000,28
2013-11-06,1108.75,1109.829956,1097.199951,1098.630005,1098.630005,3322100000,29
2013-11-07,1102.339966,1103.77002,1079.079956,1079.089966,1079.089966,4024730000,30
2013-11-08,1079.949951,1101.189941,1079.949951,1099.969971,1099.969971,3837170000,31
2013-11-11,1099.76001,1102.859985,1096.329956,1101.5,1101.5,2534060000,32
2013-11-12,1099.26001,1101.52002,1095.359985,1101.469971,1101.469971,3221030000,33
2013-11-13,1096.540039,1112.219971,1095.689941,1112.180054,1112.180054,3327480000,34
2013-11-14,1111.410034,1112.219971,1105.569946,1111.439941,1111.439941,3139060000,35
2013-11-15,1111.390015,1116.310059,1109.719971,1116.199951,1116.199951,3254820000,36
2013-11-18,1118.400024,1119.97998,1105.219971,1107.290039,1107.290039,3168520000,37
2013-11-19,1107.300049,1112.390015,1097.530029,1101.380005,1101.380005,3224450000,38
2013-11-20,1104.040039,1107.699951,1096.459961,1099.790039,1099.790039,3109140000,39
2013-11-21,1103.380005,1119.670044,1103.380005,1119.619995,1119.619995,3256630000,40
2013-11-22,1120.910034,1125.640015,1117.560059,1124.920044,1124.920044,3055140000,41
2013-11-25,1126.849976,1128.52002,1123.099976,1124.719971,1124.719971,2998540000,42
2013-11-26,1125.449951,1136.23999,1124.97998,1134.530029,1134.530029,3427120000,43
2013-11-27,1135.630005,1141.5,1134.130005,1141.329956,1141.329956,2613590000,44
2013-11-29,1145.829956,1147,1142.52002,1142.890015,1142.890015,1598300000,45
2013-12-02,1142.300049,1142.300049,1127.719971,1129.119995,1129.119995,3095430000,46
2013-12-03,1125.949951,1130.969971,1119.680054,1123.780029,1123.780029,3475680000,47
2013-12-04,1123.790039,1128.969971,1111.630005,1121.380005,1121.380005,3610540000,48
2013-12-05,1120.800049,1125.609985,1119.76001,1122.469971,1122.469971,3336880000,49
2013-12-06,1122.47998,1135.880005,1122.47998,1131.380005,1131.380005,3150030000,50
2013-12-09,1132.900024,1134.180054,1126.380005,1129.459961,1129.459961,3129500000,51
2013-12-10,1128.02002,1131.26001,1119.329956,1119.689941,1119.689941,3117150000,52
2013-12-11,1119.819946,1120.920044,1099.73999,1101.5,1101.5,3472240000,53
2013-12-12,1101.400024,1107.180054,1099.670044,1103.27002,1103.27002,3306640000,54
2013-12-13,1105.98999,1109.51001,1100.77002,1107.050049,1107.050049,3061070000,55
2013-12-16,1110.579956,1120.170044,1110.430054,1119.849976,1119.849976,3209890000,56
2013-12-17,1119.400024,1120.26001,1112.609985,1118.890015,1118.890015,3270030000,57
2013-12-18,1120.150024,1133.76001,1112.030029,1133.719971,1133.719971,4327770000,58
2013-12-19,1131.22998,1131.670044,1124.930054,1125.449951,1125.449951,3497210000,59
2013-12-20,1127.849976,1147.119995,1127.650024,1146.469971,1146.469971,5097700000,60
2013-12-23,1151.390015,1157.339966,1151.040039,1157.219971,1157.219971,2851540000,61
